,위도,경도,문화생활,판매시설,음식점,임대면적,보증금,임대료,문화생활_sc,판매시설_sc,음식점_sc,건강_sc,카페_sc,편의시설_sc,반려동물_sc,대중교통_sc,의료시설_sc,공공기관_sc,오락시설_sc,주소,법정동,URL_NUM
67,37.586399,126.997116,267,17,201,18,300,35,0.47731397459165154,0.13934426229508198,0.22522522522522523,0.12068965517241378,0.3847980997624703,0.3333333333333333,0.20930232558139536,0.029411764705882353,0.06212424849699398,0.26666666666666666,0.4745762711864407,서울 종로구 명륜1가 85,명륜1가,2202830089
68,37.573918,126.972383,171,13,563,69,1000,90,0.3030852994555354,0.10655737704918034,0.6328828828828829,0.7241379310344828,0.5320665083135392,0.6,0.2441860465116279,0.4117647058823529,0.14829659318637273,0.4,0.2033898305084746,서울 종로구 내수동 72,내수동,2202869766
69,37.597312,126.961713,29,4,22,92,20000,80,0.045372050816696916,0.03278688524590164,0.02364864864864865,0.0,0.0332541567695962,0.06666666666666667,0.05232558139534885,0.0,0.01603206412825651,0.13333333333333333,0.01694915254237288,서울 종로구 부암동 185-8,부암동,2202929576
70,37.608226,126.956565,23,2,46,49,500,50,0.034482758620689655,0.01639344262295082,0.05067567567567567,0.017241379310344827,0.02850356294536817,0.06666666666666667,0.005813953488372093,0.0,0.018036072144288578,0.03333333333333333,0.05084745762711865,서울 종로구 구기동 110-1,구기동,2202711961
71,37.575099,127.00402,298,30,169,33,9000,30,0.5335753176043556,0.24590163934426232,0.1891891891891892,0.3620689655172414,0.23277909738717342,0.26666666666666666,0.5523255813953488,0.14705882352941177,0.46492985971943884,0.6333333333333333,0.1864406779661017,서울 종로구 충신동 62-2,충신동,2202885676
72,37.575731,126.969505,159,12,399,42,1000,60,0.2813067150635209,0.09836065573770492,0.4481981981981982,0.6379310344827586,0.49643705463182897,0.3333333333333333,0.2616279069767442,0.23529411764705882,0.13226452905811623,0.5,0.1694915254237288,서울 종로구 필운동 285-5,필운동,2202747111
73,37.583326,127.004594,310,12,314,30,1000,70,0.5553539019963701,0.09836065573770492,0.3524774774774775,0.7241379310344828,0.501187648456057,0.3333333333333333,0.4011627906976744,0.14705882352941177,0.1062124248496994,0.13333333333333333,0.3220338983050847,서울 종로구 동숭동 12-6,동숭동,2202723672
74,37.573212,127.022928,94,52,246,82,2000,115,0.16333938294010888,0.42622950819672134,0.2759009009009009,0.37931034482758624,0.21140142517814728,0.6,0.5755813953488371,0.5,0.2885771543086172,0.3,0.5932203389830508,서울 종로구 숭인동 1396,숭인동,2202755393
75,37.573449,126.973341,178,14,482,74,1000,90,0.3157894736842105,0.11475409836065574,0.5416666666666666,0.7586206896551724,0.5225653206650831,0.6666666666666666,0.2441860465116279,0.5,0.1442885771543086,0.36666666666666664,0.1864406779661017,서울 종로구 내수동 75,내수동,2202746658
76,37.572784,127.015915,126,49,246,52,1000,65,0.22141560798548093,0.4016393442622951,0.2759009009009009,0.2931034482758621,0.16627078384798102,0.8,0.6860465116279069,0.5294117647058824,0.4849699398797595,0.4666666666666667,0.5084745762711864,서울 종로구 숭인동 310,숭인동,2202743994
77,37.582184,127.004532,298,11,367,82,5000,100,0.5335753176043556,0.09016393442622951,0.41216216216216217,0.7586206896551724,0.4821852731591449,0.3333333333333333,0.436046511627907,0.14705882352941177,0.11823647294589178,0.13333333333333333,0.3220338983050847,서울 종로구 동숭동 50-13,동숭동,2202769958
78,37.568709,126.971731,111,8,150,127,10000,300,0.19419237749546278,0.06557377049180328,0.1677927927927928,0.5517241379310345,0.34679334916864607,0.26666666666666666,0.36627906976744184,0.1764705882352941,0.6873747494989979,0.16666666666666666,0.06779661016949153,서울 종로구 신문로2가 171,신문로2가,2203075742
79,37.589636,126.994914,125,7,79,62,1000,80,0.21960072595281305,0.05737704918032787,0.08783783783783783,0.13793103448275862,0.08788598574821853,0.3333333333333333,0.12209302325581395,0.0,0.0501002004008016,0.13333333333333333,0.11864406779661017,서울 종로구 명륜3가 1-1196,명륜3가,2202771091
80,37.573449,126.973341,178,14,482,60,1000,95,0.3157894736842105,0.11475409836065574,0.5416666666666666,0.7586206896551724,0.5225653206650831,0.6666666666666666,0.2441860465116279,0.5,0.1442885771543086,0.36666666666666664,0.1864406779661017,서울 종로구 내수동 75,내수동,2202528987
81,37.588779,127.000451,263,14,77,17,1000,45,0.47005444646098005,0.11475409836065574,0.08558558558558559,0.12068965517241378,0.23277909738717342,0.13333333333333333,0.27906976744186046,0.08823529411764705,0.08416833667334668,0.36666666666666664,0.22033898305084745,서울 종로구 혜화동 20-19,혜화동,2202561662
82,37.609319,126.955629,18,1,27,99,5000,120,0.02540834845735027,0.00819672131147541,0.02927927927927928,0.0,0.02137767220902613,0.06666666666666667,0.0,0.0,0.008016032064128256,0.03333333333333333,0.05084745762711865,서울 종로구 구기동 121,구기동,2202684753
83,37.577414,127.015695,85,17,68,36,1000,45,0.147005444646098,0.13934426229508198,0.07545045045045044,0.39655172413793105,0.07363420427553444,0.13333333333333333,0.6511627906976744,0.38235294117647056,0.25851703406813625,0.7333333333333333,0.13559322033898305,서울 종로구 숭인동 55-6,숭인동,2202582624
84,37.570657,126.979775,442,34,665,59,1000,95,0.7949183303085299,0.27868852459016397,0.7477477477477477,0.9999999999999999,0.831353919239905,0.5333333333333333,0.3081395348837209,0.6764705882352942,0.7875751503006011,0.5,0.3389830508474576,서울 종로구 종로1가 24,종로1가,2202163257
85,37.587264,126.968715,67,2,16,634,20000,1400,0.11433756805807622,0.01639344262295082,0.016891891891891893,0.06896551724137931,0.019002375296912115,0.0,0.034883720930232565,0.0,0.04208416833667334,0.2,0.0,서울 종로구 청운동 53-57,청운동,2202759411
86,37.573449,126.973341,178,14,482,74,1000,90,0.3157894736842105,0.11475409836065574,0.5416666666666666,0.7586206896551724,0.5225653206650831,0.6666666666666666,0.2441860465116279,0.5,0.1442885771543086,0.36666666666666664,0.1864406779661017,서울 종로구 내수동 75,내수동,2202568368
87,37.607306,126.970769,26,7,21,68,3000,85,0.039927404718693285,0.05737704918032787,0.022522522522522525,0.10344827586206895,0.030878859857482184,0.13333333333333333,0.01744186046511628,0.0,0.014028056112224447,0.23333333333333334,0.0,서울 종로구 평창동 153-3,평창동,2202673847
